id,key,value,type
23417929,highway,secondary,regular
23417929,name,Jl. Bali Cliff,regular
23417929,oneway,no,regular
23417929,surface,asphalt,regular
23417930,highway,unclassified,regular
23417930,lanes,2,regular
23417930,oneway,no,regular
23417930,surface,paved,regular
23417931,highway,residential,regular
23417931,lanes,1,regular
23417931,surface,paved,regular
23417932,highway,service,regular
23417932,lanes,2,regular
23417932,oneway,yes,regular
23417932,surface,paved,regular
23417933,created_by,Scarabeaus,regular
23417933,highway,residential,regular
23417933,lanes,1,regular
23417933,surface,paved,regular
23417934,highway,secondary,regular
23417934,lanes,2,regular
23417934,name,Jalan Kampus Unud,regular
23417934,surface,asphalt,regular
23417935,created_by,Scarabeaus,regular
23417935,highway,unclassified,regular
23417935,lanes,1,regular
23417935,surface,unpaved,regular
23417936,highway,residential,regular
23417936,lanes,2,regular
23417936,surface,paved,regular
23417937,highway,unclassified,regular
23417937,lanes,2,regular
23417937,surface,paved,regular
23417939,highway,residential,regular
23417939,surface,paved,regular
23417940,highway,living_street,regular
23417940,lanes,1,regular
23417940,surface,unpaved,regular
23417941,created_by,Scarabeaus,regular
23417941,highway,residential,regular
23417941,lanes,1,regular
23417941,surface,paved,regular
23417942,created_by,Scarabeaus,regular
23417942,highway,residential,regular
23417942,lanes,2,regular
23417942,surface,paved,regular
23417943,highway,residential,regular
23417943,lanes,1,regular
23417943,surface,paved,regular
23417944,created_by,Potlatch 0.9c,regular
23417944,highway,residential,regular
23417944,lanes,2,regular
23417944,surface,paved,regular
23417945,highway,residential,regular
23417945,lanes,2,regular
23417945,surface,paved,regular
23417947,created_by,Scarabeaus,regular
23417947,highway,unclassified,regular
23417947,lanes,1,regular
23417947,surface,unpaved,regular
23417948,created_by,Scarabeaus,regular
23417948,highway,unclassified,regular
23417948,lanes,1,regular
23417948,surface,unpaved,regular
23417951,highway,residential,regular
23417951,lanes,2,regular
23417951,surface,paved,regular
23417952,highway,residential,regular
23417952,surface,paved,regular
23417953,created_by,Potlatch 0.9c,regular
23417953,highway,residential,regular
23417953,lanes,1,regular
23417953,surface,paved,regular
23417954,created_by,Scarabeaus,regular
23417954,highway,residential,regular
23417954,lanes,1,regular
23417954,surface,paved,regular
23417955,highway,living_street,regular
23417955,lanes,1,regular
23417955,surface,paved,regular
23417956,created_by,Potlatch 0.9c,regular
23417956,highway,residential,regular
23417956,lanes,2,regular
23417956,surface,paved,regular
23417957,highway,tertiary,regular
23417957,lanes,2,regular
23417957,name,Jalan Toya Ning,regular
23417957,surface,asphalt,regular
23417958,created_by,Scarabeaus,regular
23417958,highway,unclassified,regular
23417958,lanes,1,regular
23417958,surface,unpaved,regular
23417959,created_by,Scarabeaus,regular
23417959,highway,residential,regular
23417959,lanes,1,regular
23417959,surface,paved,regular
23417960,created_by,Potlatch 0.9c,regular
23417960,highway,residential,regular
23417960,lanes,2,regular
23417960,surface,paved,regular
23417961,highway,residential,regular
23417961,name,Jalan Pantai Sari,regular
23417961,oneway,yes,regular
23417961,surface,paved,regular
23417962,highway,unclassified,regular
23417962,lanes,2; 1,regular
23417962,oneway,no,regular
23417962,source,GPS,regular
23417962,surface,paved,regular
23417963,highway,unclassified,regular
23417963,lanes,1,regular
23417963,oneway,no,regular
23417963,source,GPS,regular
23417963,surface,paved,regular
23417964,highway,service,regular
23417964,lanes,2,regular
23417964,surface,paved,regular
23417965,highway,residential,regular
23417966,created_by,Scarabeaus,regular
23417966,highway,residential,regular
23417966,lanes,1,regular
23417966,surface,paved,regular
23417967,highway,residential,regular
23417967,lanes,1,regular
23417967,surface,paved,regular
23417969,created_by,Potlatch 0.9c,regular
23417969,highway,residential,regular
23417969,lanes,1,regular
23417969,surface,paved,regular
23417970,highway,residential,regular
23417970,lanes,1,regular
23417970,name,Gang V,regular
23417970,surface,paved,regular
23417971,highway,unclassified,regular
23417971,lanes,1,regular
23417971,surface,paved,regular
23417972,created_by,Potlatch 0.9c,regular
23417972,highway,residential,regular
23417972,lanes,1,regular
23417972,surface,paved,regular
23417973,created_by,Scarabeaus,regular
23417973,highway,unclassified,regular
23417973,lanes,1,regular
23417973,surface,unpaved,regular
23417974,created_by,Scarabeaus,regular
23417974,highway,residential,regular
23417974,lanes,1,regular
23417974,surface,paved,regular
23417975,highway,residential,regular
23417975,lanes,2,regular
23417975,surface,paved,regular
23417976,highway,residential,regular
23417976,surface,paved,regular
23417977,created_by,Scarabeaus,regular
23417977,highway,residential,regular
23417977,lanes,2,regular
23417977,surface,paved,regular
23417978,created_by,Scarabeaus,regular
23417978,highway,unclassified,regular
23417978,lanes,1,regular
23417978,surface,unpaved,regular
23417979,created_by,Scarabeaus,regular
23417979,highway,residential,regular
23417979,lanes,2,regular
23417979,surface,paved,regular
23417980,created_by,Scarabeaus,regular
23417980,highway,unclassified,regular
23417980,lanes,1,regular
23417980,surface,unpaved,regular
23417981,highway,residential,regular
23417981,surface,paved,regular
23417982,highway,residential,regular
23417982,lanes,1,regular
23417982,surface,paved,regular
23417985,highway,residential,regular
23417985,lanes,2,regular
23417985,surface,paved,regular
23417987,highway,residential,regular
23417987,lanes,2,regular
23417987,surface,paved,regular
23417988,highway,residential,regular
23417988,lanes,2,regular
23417988,name,Jalan Pasraman Unud,regular
23417988,oneway,no,regular
23417988,surface,asphalt,regular
23417989,highway,residential,regular
23417989,lanes,2,regular
23417989,surface,paved,regular
23417990,created_by,Scarabeaus,regular
